nhom,stt,role_code,role_name_goc,ten_trong_app,role_name_vn,role_group,trai_nghiem_roleplay,gop_vao_role,cac_role_gop_vao_day,so_role_gop,di_len_tu_role,nhom_ly_do,ly_do_chi_tiet
GROUP 1 - GIU LAI,11,DATA_DA,Data Analyst,Data Analyst,Chuyên viên phân tích dữ liệu,"Data, AI & Machine Learning","Đọc số liệu, tìm câu chuyện đằng sau con số — ít code, nhiều giao tiếp với phòng ban",,Business Intelligence Analyst,1,,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,12,DATA_AI,AI Engineer,AI Engineer,Kỹ sư trí tuệ nhân tạo,"Data, AI & Machine Learning","Xây hệ thống thông minh: mô hình học máy, LLM, thị giác máy tính",,Machine Learning Engineer; Data Scientist; Generative AI / LLM Engineer; Computer Vision / NLP Engineer,4,Data Analyst; Data Engineer; Backend Developer,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,13,DATA_DE,Data Engineer,Data Engineer,Kỹ sư dữ liệu,"Data, AI & Machine Learning",Xây đường ống đưa dữ liệu từ nhiều nguồn về một chỗ — nặng về kỹ thuật,,Analytics Engineer; Database Administrator,2,Backend Developer; Data Analyst,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,14,CLOUD_DEVOPS,DevOps Engineer,DevOps Engineer,Kỹ sư DevOps,"Cloud, DevOps & SRE","Tự động hoá, đưa sản phẩm lên chạy thật, giữ hệ thống không sập",,MLOps Engineer; Site Reliability Engineer; Automation / CI-CD Engineer; Platform Engineer; DevSecOps Engineer; IT Operations / Infrastructure Engineer,6,Backend Developer; IT Helpdesk,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,15,CLOUD_ENG,Cloud Engineer,Cloud Engineer,Kỹ sư điện toán đám mây,"Cloud, DevOps & SRE",Xây và vận hành hạ tầng trên nền tảng đám mây,,,0,IT Helpdesk,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,16,SEC_ENG,Cybersecurity / Security Engineer,Cybersecurity Engineer,Kỹ sư an ninh mạng / Kỹ sư bảo mật,Cyber Security,"Bảo vệ hệ thống: giám sát và điều tra cảnh báo tấn công (giai đoạn đầu thường TRỰC CA, có ca đêm), viết rule phát hiện trên SIEM, triển khai firewall/IDS/EDR",,SOC Analyst; Incident Response / DFIR Specialist,2,IT Helpdesk; Network Engineer; DevOps Engineer,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,17,SEC_PENTEST,Penetration Tester,Penetration Tester,Chuyên viên kiểm thử xâm nhập / Hacker mũ trắng,Cyber Security,Tấn công thử vào hệ thống để tìm lỗ hổng trước kẻ xấu,,Security Tester; Application Security Engineer,2,Cybersecurity Engineer; Backend Developer,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,18,PROD_BA,Business Analyst,Business Analyst,Chuyên viên phân tích nghiệp vụ / BA,Product & Project Management,"Cầu nối giữa nghiệp vụ và kỹ thuật — giao tiếp nhiều, ÍT code",,,0,,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,19,PROD_PM,Product Manager,Product Manager,Quản lý sản phẩm / Product Manager,Product & Project Management,"Quyết định sản phẩm làm gì trước, làm gì sau và vì sao",,Product Owner; Scrum Master; Project Manager; Data Product Manager,4,Business Analyst; Backend Developer; UI/UX Designer,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,20,INFRA_ERP,ERP Consultant / Engineer,ERP / CRM Consultant,Chuyên viên tư vấn giải pháp ERP,IT Infrastructure & Enterprise Systems,"Cấu hình hệ thống quản trị doanh nghiệp (SAP, Oracle, Salesforce) theo quy trình của khách hàng — ít code, nhiều nghiệp vụ và làm việc trực tiếp với khách",,Salesforce / CRM Consultant; SAP Basis Administrator,2,Business Analyst; IT Helpdesk,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,21,INFRA_HELPDESK,IT Helpdesk / IT Support,IT Helpdesk,Nhân viên hỗ trợ kỹ thuật / IT Support,IT Infrastructure & Enterprise Systems,Hỗ trợ người dùng và xử lý sự cố trực tiếp — cửa vào ngành dễ tiếp cận nhất,,System Administrator; Systems Engineer,2,,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 1 - GIU LAI,22,INFRA_NETWORK,Network Engineer,Network Engineer,Kỹ sư hệ thống mạng,IT Infrastructure & Enterprise Systems,Thiết kế và vận hành hệ thống mạng — lộ trình theo chứng chỉ CCNA/CCNP,,,0,IT Helpdesk,,"Role khác biệt — có trải nghiệm role-play riêng, không trùng với role nào khác"
GROUP 2 - GOP,,CLOUD_AUTO,Automation / CI-CD Engineer,,Kỹ sư tự động hóa,"Cloud, DevOps & SRE",,CLOUD_DEVOPS (DevOps Engineer),,,,,Tự động hoá là phần việc lõi của DevOps
GROUP 2 - GOP,,CLOUD_DEVSECOPS,DevSecOps Engineer,,Kỹ sư DevSecOps,"Cloud, DevOps & SRE",,CLOUD_DEVOPS (DevOps Engineer),,,,,DevOps có thêm mảng bảo mật
GROUP 2 - GOP,,CLOUD_PLATFORM,Platform Engineer,,Kỹ sư nền tảng,"Cloud, DevOps & SRE",,CLOUD_DEVOPS (DevOps Engineer),,,,,"Title mới, nội dung trùng DevOps"
GROUP 2 - GOP,,CLOUD_SRE,Site Reliability Engineer,,Kỹ sư tin cậy hệ thống / SRE,"Cloud, DevOps & SRE",,CLOUD_DEVOPS (DevOps Engineer),,,,,Tại VN hai title này thường dùng thay thế nhau
GROUP 2 - GOP,,DATA_MLOPS,MLOps Engineer,,Kỹ sư MLOps / Kỹ sư vận hành hệ thống AI,"Data, AI & Machine Learning",,CLOUD_DEVOPS (DevOps Engineer),,,,,DevOps áp dụng cho mô hình ML
GROUP 2 - GOP,,INFRA_ITOPS,IT Operations / Infrastructure Engineer,,Kỹ sư vận hành hạ tầng,IT Infrastructure & Enterprise Systems,,CLOUD_DEVOPS (DevOps Engineer),,,,,Vận hành hạ tầng — chồng lấn với DevOps
GROUP 2 - GOP,,DATA_CV_NLP,Computer Vision / NLP Engineer,,Kỹ sư thị giác máy tính / xử lý ngôn ngữ,"Data, AI & Machine Learning",,DATA_AI (AI Engineer),,,,,Chuyên môn thị giác máy tính / NLP
GROUP 2 - GOP,,DATA_DS,Data Scientist,,Nhà khoa học dữ liệu,"Data, AI & Machine Learning",,DATA_AI (AI Engineer),,,,,Data Scientist thiên nghiên cứu — cùng nhóm trải nghiệm
GROUP 2 - GOP,,DATA_GENAI,Generative AI / LLM Engineer,,Kỹ sư AI tạo sinh / Kỹ sư LLM,"Data, AI & Machine Learning",,DATA_AI (AI Engineer),,,,,Chuyên môn LLM trong AI Engineer
GROUP 2 - GOP,,DATA_ML,Machine Learning Engineer,,Kỹ sư học máy,"Data, AI & Machine Learning",,DATA_AI (AI Engineer),,,,,AI Engineer là tên chung và phổ biến hơn
GROUP 2 - GOP,,DATA_BI,Business Intelligence Analyst,,Chuyên viên BI,"Data, AI & Machine Learning",,DATA_DA (Data Analyst),,,,,Nhiều công ty VN gộp hai vị trí này làm một
GROUP 2 - GOP,,DATA_ANALYTICSENG,Analytics Engineer,,Kỹ sư phân tích dữ liệu,"Data, AI & Machine Learning",,DATA_DE (Data Engineer),,,,,"Title hiếm tại VN, thường do Data Engineer kiêm"
GROUP 2 - GOP,,INFRA_DBA,Database Administrator,,Quản trị viên cơ sở dữ liệu / DBA,IT Infrastructure & Enterprise Systems,,DATA_DE (Data Engineer),,,,,Quản trị CSDL gần nhánh dữ liệu hơn nhánh hỗ trợ IT
GROUP 2 - GOP,,INFRA_CRM,Salesforce / CRM Consultant,,Chuyên viên tư vấn giải pháp CRM,IT Infrastructure & Enterprise Systems,,INFRA_ERP (ERP / CRM Consultant),,,,,Cùng bản chất tư vấn cấu hình hệ thống doanh nghiệp; Salesforce là một nền tảng cụ thể trong nhóm này (ITviec chỉ có 4 tin riêng cho Salesforce)
GROUP 2 - GOP,,INFRA_SAPBASIS,SAP Basis Administrator,,Quản trị SAP Basis,IT Infrastructure & Enterprise Systems,,INFRA_ERP (ERP / CRM Consultant),,,,,Là mảng kỹ thuật hạ tầng của hệ SAP — thuộc cùng hệ sinh thái ERP
GROUP 2 - GOP,,INFRA_SYSADMIN,System Administrator,,Quản trị viên hệ thống,IT Infrastructure & Enterprise Systems,,INFRA_HELPDESK (IT Helpdesk),,,,,Cùng nhánh vận hành và hỗ trợ hệ thống nội bộ
GROUP 2 - GOP,,INFRA_SYSENG,Systems Engineer,,Kỹ sư hệ thống,IT Infrastructure & Enterprise Systems,,INFRA_HELPDESK (IT Helpdesk),,,,,Chồng lấn gần hoàn toàn với System Administrator
GROUP 2 - GOP,,DATA_PM,Data Product Manager,,Quản lý sản phẩm dữ liệu,"Data, AI & Machine Learning",,PROD_PM (Product Manager),,,,,Product Manager chuyên mảng dữ liệu
GROUP 2 - GOP,,PROD_PJM,Project Manager,,Quản lý dự án,Product & Project Management,,PROD_PM (Product Manager),,,,,Quản lý dự án — cùng bản chất điều phối và ưu tiên
GROUP 2 - GOP,,PROD_PO,Product Owner,,Chủ sở hữu sản phẩm / Product Owner,Product & Project Management,,PROD_PM (Product Manager),,,,,"Tại VN, Product Owner và Product Manager thường không tách bạch"
GROUP 2 - GOP,,PROD_SM,Scrum Master,,Scrum Master / Điều phối viên Scrum,Product & Project Management,,PROD_PM (Product Manager),,,,,Scrum Master thường là vai trò kiêm nhiệm
GROUP 2 - GOP,,QA_ANALYST,QA Analyst / Auditor,,Chuyên viên đảm bảo quy trình chất lượng,Quality Assurance & Testing,,QA_MANUAL (Quality Engineer),,,,,Ranh giới với QC rất mờ tại VN
GROUP 2 - GOP,,QA_AUTO,Automation QA Engineer,,Kỹ sư kiểm thử tự động,Quality Assurance & Testing,,QA_MANUAL (Quality Engineer),,,,,Thị trường VN ngày càng tuyển chung dưới title QA Engineer; automation là bước tiến của cùng một nghề
GROUP 2 - GOP,,QA_LEAD,QA/QC Lead / Test Manager,,Trưởng nhóm QA/QC / Quản lý kiểm thử,Quality Assurance & Testing,,QA_MANUAL (Quality Engineer),,,,,Cấp cao hơn trong cùng nhánh kiểm thử
GROUP 2 - GOP,,QA_PERF,Performance Test Engineer,,Kỹ sư kiểm thử hiệu năng,Quality Assurance & Testing,,QA_MANUAL (Quality Engineer),,,,,Chuyên môn hẹp trong kiểm thử
GROUP 2 - GOP,,QA_SDET,SDET,,Kỹ sư phát triển công cụ và kiểm thử,Quality Assurance & Testing,,QA_MANUAL (Quality Engineer),,,,,Kiểm thử tự động ở mức lập trình sâu — vẫn là nghề QA
GROUP 2 - GOP,,SEC_IR,Incident Response / DFIR Specialist,,Chuyên viên ứng cứu sự cố & điều tra số,Cyber Security,,SEC_ENG (Cybersecurity Engineer),,,,,Xử lý sự cố là một phần của công việc bảo mật phòng thủ
GROUP 2 - GOP,,SEC_SOC,SOC Analyst,,Chuyên viên giám sát an ninh (SOC),Cyber Security,,SEC_ENG (Cybersecurity Engineer),,,,,JD thật cho thấy trùng lặp lớn: Security Engineer cũng viết rule/parser trên SIEM và giám sát sự kiện. Cybersecurity Engineer là tên chung và dễ nhận biết hơn
GROUP 2 - GOP,,QA_SECTEST,Security Tester,,Kỹ sư kiểm thử bảo mật,Quality Assurance & Testing,,SEC_PENTEST (Penetration Tester),,,,,Cùng là kiểm thử bảo mật
GROUP 2 - GOP,,SEC_APPSEC,Application Security Engineer,,Kỹ sư bảo mật ứng dụng (AppSec),Cyber Security,,SEC_PENTEST (Penetration Tester),,,,,"Cùng hướng tìm lỗ hổng, tập trung tầng ứng dụng"
GROUP 2 - GOP,,CLOUD_ARCH,Cloud Architect,,Kiến trúc sư đám mây,"Cloud, DevOps & SRE",,SWE_ARCH_SOL (Solution Architect),,,,,Kiến trúc sư chuyên mảng cloud — cùng họ Architect
GROUP 2 - GOP,,DATA_AIARCH,AI Solution Architect,,Kiến trúc sư giải pháp AI,"Data, AI & Machine Learning",,SWE_ARCH_SOL (Solution Architect),,,,,"Kiến trúc sư chuyên mảng AI — cùng họ Architect, nhất quán với cách gộp Enterprise/Software/Cloud Architect"
GROUP 2 - GOP,,SWE_ARCH_ENT,Enterprise Architect,,Kiến trúc sư doanh nghiệp,Software Engineering & Architecture,,SWE_ARCH_SOL (Solution Architect),,,,,Solution Architect là tên phổ biến hơn; Enterprise Architect là biến thể phạm vi rộng hơn
GROUP 2 - GOP,,SWE_ARCH_SW,Software Architect,,Kiến trúc sư phần mềm,Software Engineering & Architecture,,SWE_ARCH_SOL (Solution Architect),,,,,Solution Architect phổ biến hơn; Software Architect hẹp hơn về phạm vi
GROUP 2 - GOP,,SWE_FULLSTACK,Full-stack Developer,,Lập trình viên Full-stack,Software Engineering & Architecture,,SWE_BACKEND (Backend Developer),,,,,"Là Frontend + Backend, không phải trải nghiệm thứ ba"
GROUP 2 - GOP,,CLOUD_LEAD,DevOps / Platform Lead,,Trưởng nhóm DevOps,"Cloud, DevOps & SRE",,SWE_EM (Engineering Manager),,,,,Quản lý đội hạ tầng — cùng bản chất quản lý người
GROUP 2 - GOP,,INFRA_ITMANAGER,IT Manager,,Quản lý CNTT / Trưởng phòng CNTT,IT Infrastructure & Enterprise Systems,,SWE_EM (Engineering Manager),,,,,Quản lý bộ phận IT — cùng bản chất quản lý người
GROUP 2 - GOP,,SEC_ISM,Information Security Manager,,Quản lý an toàn thông tin / Trưởng phòng bảo mật,Cyber Security,,SWE_EM (Engineering Manager),,,,,Quản lý an toàn thông tin — cùng bản chất quản lý người
GROUP 2 - GOP,,SWE_WEB,Web Developer,,Lập trình viên Web,Software Engineering & Architecture,,SWE_FRONTEND (Frontend Developer),,,,,Trùng gần hoàn toàn với Frontend
GROUP 3 - LOAI BO,,SWE_BLOCKCHAIN,Blockchain Engineer,,Kỹ sư Blockchain,Software Engineering & Architecture,,,,,,"Biến động theo chu kỳ, kỹ thuật là backend","Nhu cầu tuyển dao động cực mạnh theo chu kỳ giá crypto — một nghề mà cơ hội việc làm có thể biến mất trong 1-2 năm thì rủi ro khi tư vấn cho học sinh cấp 3. Về kỹ thuật, đây là Backend Developer chuyên về smart contract."
GROUP 3 - LOAI BO,,CLOUD_FINOPS,FinOps Specialist,,Chuyên viên tối ưu chi phí đám mây,"Cloud, DevOps & SRE",,,,,,"Chuyên môn hẹp, thường kiêm nhiệm","Tối ưu chi phí cloud gần như luôn là một phần việc của DevOps hoặc Cloud Engineer, rất hiếm khi là vị trí toàn thời gian tại VN. Ghi chú từ chính khảo sát Pass 0 của dự án cũng xác nhận điều này."
GROUP 3 - LOAI BO,,DATA_GOV,Data Governance Specialist,,Chuyên viên quản trị dữ liệu,"Data, AI & Machine Learning",,,,,,"Chuyên môn hẹp, tập trung một ngành","Data Governance chủ yếu tồn tại ở ngân hàng lớn và là một mảng trách nhiệm hơn là một title riêng. Công việc thiên về chính sách, phân loại dữ liệu và tuân thủ — khó dựng thành lượt role-play."
GROUP 3 - LOAI BO,,EXEC_CDO,Chief Data / AI Officer,,Giám đốc Dữ liệu / Giám đốc AI,Executive Technology Layer,,,,,,Cấp C-level,Vị trí rất mới và rất ít tại VN. Ranh giới với CTO chưa rõ ràng ngay cả trong giới chuyên môn.
GROUP 3 - LOAI BO,,EXEC_CIO,Chief Information Officer,,Giám đốc Thông tin (CIO),Executive Technology Layer,,,,,,Cấp C-level,"Như CTO, và còn hẹp hơn: gần như chỉ tồn tại ở ngân hàng và tập đoàn lớn. Ranh giới với CTO rất mờ, học sinh không phân biệt được."
GROUP 3 - LOAI BO,,EXEC_CISO,Chief Information Security Officer,,Giám đốc An ninh Thông tin,Executive Technology Layer,,,,,,Cấp C-level,"Chỉ có ở ngân hàng và tổ chức bị quản lý chặt (quy định bắt buộc). Công việc là quản trị rủi ro và báo cáo tuân thủ, không phải kỹ thuật."
GROUP 3 - LOAI BO,,EXEC_CPO,Chief Product Officer,,Giám đốc Sản phẩm,Executive Technology Layer,,,,,,Cấp C-level,Chủ yếu ở công ty product lớn. Là phiên bản cấp cao của Product Manager — đã được PM đại diện.
GROUP 3 - LOAI BO,,EXEC_CTO,Chief Technology Officer,,Giám đốc Công nghệ (CTO),Executive Technology Layer,,,,,,Cấp C-level,"Mỗi công ty chỉ có 1 vị trí, cần 15+ năm kinh nghiệm. Công việc chủ yếu là chiến lược, ngân sách và quan hệ với ban lãnh đạo — không có 'một ngày làm việc' nào mô phỏng được thành lượt chơi cho học sinh cấp 3. Học sinh cũng không có khung tham chiếu để hình dung."
GROUP 3 - LOAI BO,,EXEC_VPOE,VP of Engineering,,Phó Chủ tịch Kỹ thuật / Giám đốc Kỹ thuật,Executive Technology Layer,,,,,,Cấp C-level,"Hiếm tại VN, chủ yếu FDI và unicorn. Là phiên bản cấp cao của Engineering Manager — đã được EM đại diện."
GROUP 3 - LOAI BO,,SEC_GRC,GRC Analyst,,Chuyên viên tuân thủ & quản trị rủi ro,Cyber Security,,,,,,Khó mô phỏng thành trải nghiệm,"GRC (Governance, Risk, Compliance) chủ yếu là đọc quy định, viết chính sách, chuẩn bị hồ sơ kiểm toán. Đây là công việc giấy tờ có giá trị thật nhưng không có 'hành động' nào để học sinh tương tác trong một lượt chơi. Phần bảo mật kỹ thuật đã có Cybersecurity Engineer đại diện."
GROUP 3 - LOAI BO,,SWE_AIFIRST,AI-First Software Engineer,,Kỹ sư phần mềm AI-First,Software Engineering & Architecture,,,,,,"Là cách làm việc, không phải nghề","AI-First Software Engineer mô tả PHƯƠNG PHÁP làm việc (dùng AI coding agent như Copilot, Cursor, Claude Code) chứ không phải một nghề riêng. Và tới 2026 thì gần như mọi lập trình viên đều làm việc theo cách này — nó đã trở thành mặc định, không còn là điểm phân biệt. Dữ liệu JD của chính dự án cho thấy yêu cầu về AI tool xuất hiện rải rác ở mọi role từ intern tới Staff Engineer, chứ không tập trung vào một title riêng."
GROUP 3 - LOAI BO,,SWE_BRSE,Bridge Software Engineer (BrSE),,Kỹ sư cầu nối,Software Engineering & Architecture,,,,,,"Rào cản ngoại ngữ, không phải phong cách làm việc","Điểm khác biệt duy nhất của BrSE so với Backend Developer là yêu cầu tiếng Nhật N2/N1. App đang kiểm tra độ phù hợp với NGÀNH IT, không kiểm tra năng lực ngoại ngữ. Học sinh phù hợp với BrSE thì cũng phù hợp với Backend Developer — phần tiếng Nhật là lựa chọn thêm sau này, nên đưa vào phần định hướng chứ không phải một lượt role-play riêng."
GROUP 3 - LOAI BO,,DATA_PROMPT,Prompt Engineer,,Kỹ sư thiết kế câu lệnh,"Data, AI & Machine Learning",,,,,,Title của một đợt sốt đã qua,Prompt Engineer bùng lên 2023-2024 rồi nhanh chóng bị hấp thụ vào AI Engineer khi các công ty nhận ra đây là một KỸ NĂNG chứ không phải một nghề. Rất ít tin tuyển độc lập tại VN. Đưa vào app sẽ định hướng sai cho học sinh về một nghề đang co lại.
GROUP 3 - LOAI BO,,SEC_AISEC,AI Security Engineer,,Chuyên viên bảo mật AI,Cyber Security,,,,,,"Title quá mới, chưa xác lập","AI Security Engineer mới xuất hiện, chưa xác nhận có tồn tại như vị trí độc lập tại VN. Hiện là một mảng công việc trong Cybersecurity Engineer."
GROUP 3 - LOAI BO,,PROD_DM,Delivery Manager,,Quản lý bàn giao dự án,Product & Project Management,,,,,,Trùng lặp với role đã giữ,"Delivery Manager là title đặc thù công ty outsourcing lớn (FPT, KMS). Trách nhiệm chồng lấn gần hết với Engineering Manager (quản lý người) và Project Manager (quản lý tiến độ) — cả hai đều đã có trong Group 1."
GROUP 3 - LOAI BO,,PROD_PL,Project Leader,,Trưởng dự án,Product & Project Management,,,,,,Trùng lặp với role đã giữ,"Project Leader là cách gọi riêng của mô hình outsourcing VN, thực chất là Project Manager ở quy mô nhỏ hơn. Không tạo ra trải nghiệm khác biệt."
GROUP 3 - LOAI BO,,PROD_AGILE,Agile Coach,,Chuyên gia huấn luyện Agile,Product & Project Management,,,,,,"Vai trò quy trình, quá ít vị trí","Agile Coach ở VN gần như luôn là vai trò kiêm nhiệm hoặc do tư vấn bên ngoài đảm nhiệm, rất ít công ty tuyển toàn thời gian. Công việc là đào tạo và huấn luyện quy trình cho đội khác — không tạo ra sản phẩm nào để học sinh nhìn thấy kết quả."
