role_code,role_name,itviec_slug_used,itviec_open_postings,topdev_open_postings,linkedin_open_postings,measured_at,confidence,note
EXEC_CDO,Chief Data / AI Officer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
EXEC_CIO,Chief Information Officer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
EXEC_CISO,Chief Information Security Officer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
EXEC_CPO,Chief Product Officer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
EXEC_CTO,Chief Technology Officer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
EXEC_VPOE,VP of Engineering,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SWE_BACKEND,Back-end Developer,backend-developer,125,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
SWE_EMBEDDED,Embedded Software Engineer,embedded-engineer,27,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
SWE_FRONTEND,Front-end Developer,frontend-developer,19,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
SWE_FULLSTACK,Full-stack Developer,fullstack-developer,87,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
SWE_GAME,Game Developer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SWE_MOBILE,Mobile Developer,mobile-application-developer,21,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
SWE_UIUX,UI/UX Designer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SWE_WEB,Web Developer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
DATA_DA,Data Analyst,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SEC_SOC,SOC Analyst,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
PROD_BA,Business Analyst,business-analyst,51,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
QA_MANUAL,Manual Tester / QC,manual-tester,74,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
INFRA_HELPDESK,IT Helpdesk / IT Support,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
INFRA_NETWORK,Network Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SWE_AIFIRST,AI-First Software Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
DATA_AI,AI Engineer,ai-machine-learning-engineer,169,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side. Dùng chung ITviec slug với DATA_ML; xem như proxy AI/ML chung."
DATA_ANALYTICSENG,Analytics Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
DATA_CV_NLP,Computer Vision / NLP Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
DATA_DE,Data Engineer,data-engineer,39,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
DATA_DS,Data Scientist,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
DATA_GENAI,Generative AI / LLM Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
DATA_GOV,Data Governance Specialist,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
DATA_ML,Machine Learning Engineer,ai-machine-learning-engineer,169,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side. Dùng chung ITviec slug với DATA_AI; xem như proxy AI/ML chung."
DATA_MLOPS,MLOps Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
DATA_PROMPT,Prompt Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
CLOUD_AUTO,Automation / CI-CD Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
CLOUD_DEVOPS,DevOps Engineer,devops-engineer,77,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
CLOUD_DEVSECOPS,DevSecOps Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
CLOUD_FINOPS,FinOps Specialist,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
CLOUD_PLATFORM,Platform Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
CLOUD_SRE,Site Reliability Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SEC_AISEC,AI Security Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SEC_APPSEC,Application Security Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SEC_ENG,Cybersecurity / Security Engineer,security-engineer,50,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
SEC_GRC,GRC Analyst,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SEC_IR,Incident Response / DFIR Specialist,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SEC_PENTEST,Penetration Tester,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
PROD_PO,Product Owner,product-owner,29,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
PROD_SM,Scrum Master,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
QA_ANALYST,QA Analyst / Auditor,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
QA_PERF,Performance Test Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
QA_SDET,SDET,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
QA_SECTEST,Security Tester,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
INFRA_CRM,Salesforce / CRM Consultant,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
INFRA_DBA,Database Administrator,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
INFRA_ERP,ERP Consultant / Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
INFRA_ITOPS,IT Operations / Infrastructure Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
INFRA_SAPBASIS,SAP Basis Administrator,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
INFRA_SYSENG,Systems Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SWE_BLOCKCHAIN,Blockchain Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
SWE_BRSE,Bridge Software Engineer (BrSE),,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
DATA_BI,Business Intelligence Analyst,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
CLOUD_ENG,Cloud Engineer,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
PROD_PM,Product Manager,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
QA_AUTO,Automation QA Engineer,automation-tester,78,,,2026-08-22,medium,"Khớp category cố định ITviec, số render server-side."
INFRA_SYSADMIN,System Administrator,,,,,2026-08-22,low,"Không có category khớp trên ITviec - chưa đo, không suy diễn."
