jd_id,url,company,company_type,business_model,role_specific,title_observed,years_required,band_label_user,band_final,scope_signals,tasks_raw,skills_hard_raw,skills_soft_raw,certs,degree_requirement,work_env_signals,salary_posted,captured_at,note
FE11,https://www.linkedin.com/jobs/view/4448116165/,FireGroup Technology,product_local,product_inhouse,frontend,Junior Frontend Engineer,1+ years,L1,L3 ⚠ (nhưng trách nhiệm ghi ở mức L5-L6),"MAU THUAN NOI TAI: title Junior + 1+ năm, nhưng trách nhiệm gồm 'Lead technical discussions within the team'; 'Perform code reviews and mentor junior/mid-level engineers'; 'Design frontend architecture for complex features and large-scale systems'; 'Propose and implement micro-frontend architecture'","AI-augmented development (Copilot/Cursor/ChatGPT); Build complex production-ready features; Monitor and resolve production issues (Sentry, Grafana); Lead technical discussions, code review, mentor junior/mid engineers; Design frontend architecture, component architecture, design systems, micro-frontend; Optimize performance (bundle size, code splitting, lazy loading, Lighthouse); Apply security (XSS, CSRF, OWASP); REST/GraphQL, React Query/SWR; Write unit and component tests","JavaScript/TypeScript; ReactJS hoặc VueJS; event loop, async/await, rendering lifecycle, state management; Webpack/Vite/Rollup; CI/CD; Git (branching, rebase, squash); REST/GraphQL; OWASP",system thinking; teamwork; ownership; ability to mentor and support team members,KHONG_NHAC,"College or University degree in CS, Software Engineering, or related field",onsite HCMC; KHONG_NHAC hybrid,KHONG_NHAC (attractive salary based on skills),2026-08-22,CA DAC BIET: lệch title-trách nhiệm nghiêm trọng nhất trong bộ. Đáng đưa vào báo cáo như một phát hiện
FE12,https://www.linkedin.com/jobs/view/4448822901/,DXC Technology Vietnam,outsourcing,outsourcing,"fullstack (FE-heavy, banking domain)","Fullstack Engineer, ReactJS",3+ years,L3,L4 ⚠,"Make architectural and code-level decisions for assigned components, BASED ON PROVIDED high-level solution architecture; Conduct peer code reviews and provide constructive recommendations; Collaborate with technology leaders to improve technical direction","Design, develop, review, implement, maintain React.js code for production; Participate in Agile, prototyping, code review with international teams; Build scalable maintainable secure microservices-based products; Translate business requirements into technical solutions; Support CI/CD and DevOps; Apply unit/component testing and debugging","JavaScript ES6/TypeScript; React.js; HTML5/CSS3/Bootstrap/jQuery/JSON; web accessibility, security, responsive design; Node.js BFF; AWS; RESTful API; GraphQL; microservices; Selenium/Mocha/Chai/Jest",strong English communication verbal and written (global environment),KHONG_NHAC (có voucher tài trợ thi chứng chỉ như benefit),"Bachelor's degree or higher in CS, IT, Information Systems, Software Engineering, or related",KHONG_NHAC hybrid; cơ hội overseas assignment/relocation; phụ cấp tiếng Anh và tiếng Nhật,KHONG_NHAC,2026-08-22,"Nghiệp vụ ngân hàng/fintech. 'based on provided high-level solution architecture' — giới hạn phạm vi quyết định, đúng chất L4"
FE13,https://www.linkedin.com/jobs/view/middle-frontend-engineer-vue-js-at-code-leap-4433182712/,CODE LEAP,outsourcing,outsourcing,frontend,Middle Frontend Engineer (Vue.js),3+ years,L4,L4,"Review the code and provide feedback on possible problems; Analyze, debug, and fix complex bugs; Write comprehensive technical documents; proactive working style and passion to drive projects","Design, build frontend services for client's product; Write high-quality optimized reusable code; Review code and provide feedback; Optimize application for speed and scalability; Analyze debug and fix complex bugs; Write comprehensive technical documents","JavaScript; TypeScript; Vue.JS/Nuxt.JS; CSR/SSR rendering strategies; Keycloak/OAuth/token handling; CSS/SCSS; Figma; Swagger/Postman; GitHub (Git flow, PR, code reviews); AWS/Azure","fluent English written and verbal; proactive working style; commitment, team-orientation",KHONG_NHAC (tài trợ chứng chỉ Vue.js như benefit),KHONG_NHAC,"flexible work policy, flexible hours; tài trợ Grab; HCMC",KHONG_NHAC,2026-08-22,"Cặp với FE14 cùng công ty: Vue 3+ năm vs React 4+ năm, cùng task list"
FE14,https://www.linkedin.com/jobs/view/frontend-engineer-react-js-at-code-leap-4433104932/,CODE LEAP,outsourcing,outsourcing,frontend,Frontend Engineer (React.js),At least 4 years,L4,L4-L5 ⚠,"Review the code and provide feedback; 'not just as a coder, but as a product builder'; comfortable with ambiguity and rapid changes in early-stage product development; proactively reach out, không đợi người khác giao việc",(giống FE13) + Work with an international team based in Vietnam and Germany,"JavaScript; TypeScript; ReactJS; CSR/SSR; Tailwind/MUI/Ant Design; SCSS/LESS/styled-components; design systems (Polaris, Chakra UI); Atomic Design; Storybook; Redux/Jotai/TanStack Query; TanStack Router; OpenAPI/Postman; Jest/RTL/Playwright/Cypress",proficient English; prioritize tasks with problem-solving mindset; comfortable with ambiguity; proactive,KHONG_NHAC,KHONG_NHAC,flexible hours; tài trợ Grab; HCMC + phối hợp Đức,KHONG_NHAC,2026-08-22,"Danh sách skill sâu hơn hẳn FE13 dù cùng công ty: design system, Atomic Design, Storybook, E2E. Nghiêng L5 hơn L4"
FE15,https://www.linkedin.com/jobs/view/frontend-engineer-remote-full-time-at-employment-hero-3992950159/,Employment Hero,bigtech_fdi,product_inhouse,frontend,Frontend Engineer (Intermediate),At least 4 years,L4-L5,L4,"Provide your input into our technical strategy with your squad, participate in sprint planning; Ensure both your colleagues and yourself are producing high quality code through testing and code reviews; Share your knowledge with your squad and MENTOR JUNIOR DEVELOPERS; Learn and collaborate with highly respected Senior Software Developers","Develop new product lines with critical features (ReactJS, React Native, AWS EC2/Kubernetes); Provide input into technical strategy with squad; Develop code end-to-end as Frontend SDE; Ensure quality through testing and code reviews; Mentor junior developers; Enhance legacy features",JavaScript/TypeScript; ReactJS/Redux; React Native; Webpack/Rollup/ViteJS; CI/CD; web application performance tuning; AWS EC2/Kubernetes,strong English verbal and written; team player; passionate about learning and sharing; not afraid to challenge peers,KHONG_NHAC,"Bachelor's in CS or Software Engineering — ghi rõ là NICE TO HAVE, không bắt buộc",remote full-time,KHONG_NHAC,2026-08-22,Từ 'Intermediate' + mentor junior + học từ Senior => nằm dưới Senior rõ ràng. Bằng cấp là nice-to-have
FE16,https://www.linkedin.com/jobs/view/frontend-engineer-at-employment-hero-4386143955/,Employment Hero,bigtech_fdi,product_inhouse,frontend,Frontend Engineer,5+ years,L4-L5,L5,"ownership of production systems; Take ownership of frontend delivery in a fast-moving environment; Contribute to product and technical direction; Continuously raise the bar on how we build; High ownership, fast execution","Build and scale product experiences used by thousands of businesses; Take ownership of frontend delivery; Work in an AI-first engineering culture, leverage AI and agentic ways of working; Contribute to product and technical direction; Raise the bar on code quality, delivery speed, product impact",JavaScript/TypeScript; React; modern build tools; CI/CD; web performance optimization; testing; Agile,strong English for global collaboration; AI-first and agentic mindset; high ownership; adaptable,KHONG_NHAC,KHONG_NHAC,remote-first; work remotely with flexibility to own your time; WFH office expense budget,KHONG_NHAC (có ESOP),2026-08-22,Cặp với FE15 cùng công ty: 4+ năm 'Intermediate' vs 5+ năm không tiền tố. 'Open to expanding beyond frontend towards Fullstack'
FE17,https://www.linkedin.com/jobs/view/4365960099/,Binance,bigtech_fdi,product_inhouse,frontend,Senior Frontend Engineer - Stablecoin,KHONG_NHAC,L5-L6,L5,"Responsible for Stablecoin TEAM'S technical design, development, and performance optimization; Coordinate with Product Managers on research & improve UX/UI; Ensuring Web/Frontend stability, security of the system","Chịu trách nhiệm thiết kế kỹ thuật, phát triển, tối ưu hiệu năng sản phẩm tài chính của team; Liên tục cải thiện tốc độ responsive của trang, đảm bảo tương thích và hiệu quả; Phối hợp với PM nghiên cứu và cải thiện UX/UI; Đảm bảo tính ổn định và bảo mật của hệ thống frontend","HTML/CSS/JavaScript/ES6/TypeScript; MV* architecture; Flux single data flow; React; Sass/Less; responsive layout; webpack/babel/eslint (cấu hình VÀ cơ chế); http protocol; web security (cookie, XSS, CSRF); bonus: DApps, smart contracts; AI tools như claude code, agentic coding",KHONG_NHAC,KHONG_NHAC,KHONG_NHAC,work-from-home arrangement (tuỳ team),KHONG_NHAC,2026-08-22,Title Senior nhưng KHÔNG ghi số năm — hiếm. Yêu cầu hiểu CƠ CHẾ của webpack/babel chứ không chỉ cấu hình
FE18,https://www.linkedin.com/jobs/view/4454971451/,DataXight,bigtech_fdi,product_inhouse,frontend,Senior Frontend Engineer (UI Engineer),5+ years,L5,L5,"You will play a key role in SHAPING OUR UI STANDARDS, component systems, and frontend engineering practices; Support and MENTOR JUNIOR ENGINEERS through code reviews and knowledge sharing (NO DIRECT MANAGEMENT); Contribute to frontend architecture and engineering best practices; Ability to work independently","Develop and maintain high-quality frontend applications (React, TypeScript); Build reusable scalable UI components and contribute to a shared design system; Collaborate with product, backend, data teams; Implement complex data-driven interfaces including dashboards and visualization; Optimize performance for large datasets; Write clean well-tested code (unit, integration, E2E); Contribute to frontend architecture; Mentor junior engineers through code reviews","React; modern state management; JavaScript ES6+; TypeScript; HTML5/CSS3; responsive design; component-based UI architectures; Jest/React Testing Library/Cypress; data-heavy applications; nice: D3.js, SVG rendering, Storybook, Webpack/Vite, IndexedDB, Web Workers",professional English; inquisitive mindset; clarity and insight; articulate communication tailored for different audiences,KHONG_NHAC,"Bachelor's degree in CS, Engineering, OR EQUIVALENT EXPERIENCE","KHONG_NHAC rõ; công ty HQ tại Mountain View CA, có văn phòng VN",KHONG_NHAC,2026-08-22,Cụm '(no direct management)' là tín hiệu nhánh IC rõ ràng nhất trong cả bộ 20 JD
FE19,https://www.linkedin.com/jobs/view/4415113949/,CMC Global,outsourcing,outsourcing,frontend,Frontend Developer (Middle/Senior),4+ years ReactJS,L4-L5,L4,Collaborate with other team members and stakeholders; KHONG co tin hieu mentor/review/lead nao,Develop new user-facing features; Build reusable code and libraries for future use; Ensure technical feasibility of UI/UX designs; Optimize application for maximum speed and scalability; Assure all user input is validated before submitting to back-end; Collaborate with team members and stakeholders,"ReactJS; NextJS; TypeScript; TailwindCSS; Agile/Waterfall; development checklist; nice: React Query, Atomic Design, Design pattern, SOLID, SCRUM, GIT, SVN, REDMINE, JIRA",critical thinking; willing to change or adapt new things; fluent English communication,KHONG_NHAC,Bachelor's Degree (ghi rõ ở mục Required Education Level),onsite opportunities US/EU ngắn và dài hạn,Negotiable; 14th-month salary; extra 16 triệu/năm,2026-08-22,"Title ghi Middle/Senior nhưng task list không có tín hiệu senior nào (không mentor, không review, không kiến trúc). Xếp L4"
FE20,https://jobs.vn.indeed.com/viewjob?jk=82a642f42a8c41b4,ANDPAD Vietnam,bigtech_fdi,product_inhouse,frontend,Principal Frontend Engineer (ReactJS/VueJS),8+ years,L7,L7,"REVIEW THE DESIGN, PROGRAMMING OF OTHER ENGINEERS; Requirements definition and specification formulation in collaboration with product managers and designers; Experience as a TECHNICAL LEAD throughout the full project development lifecycle; nice: experience in DECIDING AND PROGRESSING THE TECHNICAL POLICY OF THE TEAM as a tech lead",Design and implementation function of the product in charge using ReactJS; Implement UI and improve UX close to the customer's business; Requirements definition and specification formulation with product managers and designers; Review the design and programming of other engineers,"TypeScript/HTML/CSS; ReactJS, VueJS, NuxtJS, NextJS; AWS/GCP; CircleCI/Bitrise/GitHub Actions; unit test; web application security; nice: frontend microservices, Golang/Ruby on Rails, OSS contribution",good at English communication; empathy for company mission and values,KHONG_NHAC,KHONG_NHAC,hybrid working model; MacBook Pro provided; squad model,KHONG_NHAC (attractive salary),2026-08-22,"BAND L7 FRONTEND CO THAT TAI VN — trái với dự đoán ban đầu. Squad model, làm việc trực tiếp với PM ở khâu định nghĩa yêu cầu"
FE21,https://www.linkedin.com/jobs/view/staff-software-engineer-at-axon-4377101704/,Axon,bigtech_fdi,product_inhouse,generic SWE (backend-leaning),Staff Software Engineer,10+ years,L7,L7-L8,"Defines the LONG-TERM TECHNICAL VISION FOR A BROAD DOMAIN and aligns MULTIPLE TEAMS; owns architecture and technical strategy FOR YOUR GROUP; Mentor senior engineers across multiple teams; advise our DIRECTOR OF ENGINEERING on technical strategy; mentor engineers toward promotion readiness, conduct calibrated interviews, partner with leadership on hiring strategy","Set a high technical bar through deep technical insights and architecture design reviews; Set GROUP-LEVEL AI ENGINEERING STRATEGY, aligning tool adoption and platform investments; Define and enforce GOVERNANCE FOR AI-ASSISTED DEVELOPMENT (security, compliance, IP, quality verification); Mentor senior engineers across multiple teams; Drive quality and engineering excellence standards across the group",high-availability scalable cloud-based systems; system design; architecture design review,KHONG_NHAC,KHONG_NHAC,KHONG_NHAC,"hybrid HCMC; onsite T3-T6, remote T2",KHONG_NHAC,2026-08-22,"Quản trị AI-assisted development đã thành trách nhiệm cấp Staff. Không phải frontend — dùng cho scope signals L7-L8, không dùng cho skills"
FE22,https://www.linkedin.com/jobs/view/staff-principal-software-engineer-at-axon-3922703050/,Axon,bigtech_fdi,product_inhouse,generic SWE (backend-leaning),Staff / Principal Software Engineer,10+ years,L7,L7-L8,collaborate with other staff and senior engineers to SHAPE AND DRIVE THE TECHNICAL DIRECTION FOR THE ORGANIZATION; working closely with senior engineers ACROSS TEAMS to review their designs; a FORCE MULTIPLIER for your team and the teams around you; will MENTOR OUR NEXT SET OF ENGINEERING LEADERS; advise our director of engineering on technical strategy,"Set a high technical bar through architecture design reviews; Mentor software senior engineers across multiple teams; Work across teams with Product, Design, Engineering; Improve our Engineering process including long-term thinking, sprint planning; Build services adhering to high bar on availability, performance, security",Scala/Java/Go/C#; SQL Server/Cassandra; high-availability scalable cloud systems; backend microservices,great collaborator and coach; zero tolerance for people not willing to work as a team,KHONG_NHAC,KHONG_NHAC,hybrid HCMC office,KHONG_NHAC,2026-08-22,Staff và Principal gộp chung một title — hai band này không được phân biệt tại Axon VN
FE23,https://www.linkedin.com/jobs/view/4453036934/,VNG (Game Publishing Platform),product_local,product_inhouse,frontend,Frontend Engineer (Game Publishing Platform),3+ years,L3,L4 ⚠,"Participate in technical discussions, code reviews, continuous improvement of engineering processes; Support live service operations, monitoring, troubleshooting; Comfortable taking ownership of service reliability; NHUNG van co 'Learn and grow... with mentorship and collaboration from teammates'","Design and build scalable UI for Game Publishing Platform (auth, content management, publishing workflows); Deliver frontend apps với micro-frontend (Single-Spa, SystemJS); Develop maintain evolve company's UI System Library; Collaborate with backend to integrate APIs end-to-end; Leverage AI tools (Claude, Cursor) to accelerate development; Support live service operations and troubleshooting","React; JavaScript/TypeScript; React Native (BAT BUOC co app đã lên App Store/Google Play); HTML/CSS; Tailwind/Shadcn/Headless UI; Webpack/Vite; Core Web Vitals; browser rendering; XSS/cookies/auth security; unit test; micro-frontend (Single-Spa, SystemJS); design system; AI dev tools",good communication with both engineers and non-engineers; ownership of service reliability,KHONG_NHAC,"Bachelor's degree in CS, Engineering, or related field",KHONG_NHAC,KHONG_NHAC,2026-08-22,Yêu cầu React Native đã ship production là rào cản cao bất thường. Vừa có micro-frontend + UI System Library (mức L4-L5) vừa còn nhận mentorship (mức L3)
FE24,https://www.linkedin.com/jobs/view/4448787295/,Workday (Paradox team),bigtech_fdi,product_inhouse,frontend,Software Development Engineer (Front-end),3+ years,L3-L4,L4,"Proposing solutions, ESTIMATING EFFORT, and taking ownership of features end-to-end from design through deployment; Partnering with engineering in Vietnam and product teams in the U.S. to REFINE REQUIREMENTS and plan technical tasks; Recommending UX and workflow improvements based on user feedback and data","Implement clean reusable frontend components từ thiết kế UI/UX; Đảm bảo trải nghiệm responsive, accessible, hiệu năng cao trên nhiều trình duyệt; Phát triển và bảo trì browser extension, đảm bảo tương thích chéo và tuân thủ bảo mật; Tích hợp backend và AI API vào giao diện; Tham gia code review và chia sẻ best practice","modern UI framework; full SDLC; modern frontend architecture & system design principles; Git (branching, merge conflicts); unit/integration/automation/regression testing; browser extension environment","excellent communication in ENGLISH AND VIETNAMESE, verbal and written; work across distributed teams and time zones; manage multiple priorities",KHONG_NHAC,KHONG_NHAC,"Flex Work: ít nhất 50% thời gian mỗi quý ở văn phòng hoặc với khách hàng, không quy định số ngày/tuần",KHONG_NHAC,2026-08-22,JD duy nhất yêu cầu rõ tiếng VIỆT bên cạnh tiếng Anh. Mô hình Flex Work tính theo quý thay vì ngày/tuần
FE25,https://www.linkedin.com/jobs/view/4438577154/,FinX (Galaxy) - digital bank,enterprise_bank,product_inhouse,frontend,(Senior) Frontend Developer,3+ years,L5,L5 ⚠,"Own features end-to-end (design discussion, implementation, testing, rollout) with a PRODUCT MINDSET — understand the 'why' behind a feature; DRIVE improvements in UX, system performance, and front-end architecture; PROPOSE solutions that improve business and operations performance, not just ship what's requested; MENTOR AND SUPPORT TEAMMATES","Xây dựng UI component tuỳ chỉnh và hiện thực business logic với React/Next.js; Sở hữu tính năng end-to-end từ thảo luận thiết kế tới rollout; Dẫn dắt cải tiến UX, hiệu năng hệ thống và kiến trúc frontend, gồm áp dụng Micro Frontend; Phối hợp Product/Design/Operations biến phản hồi thành cải tiến; Khám phá và áp dụng công cụ AI vào phát triển và sản phẩm; Mentor và hỗ trợ đồng đội","React; Next.js; JavaScript/TypeScript/HTML/CSS (hiểu triết lý thiết kế của framework); large-scale web apps; Caching/CDN/Service Worker/code-splitting/SSR/ISR; Micro Frontend (Module Federation, single-spa) — module boundaries, shared state, versioning, independent deployability; AI coding assistants + tích hợp LLM vào sản phẩm; REST/JSON/GraphQL/WebSocket; SOLID + design patterns; nice: quy định và tuân thủ ngành ngân hàng",product-oriented mindset; đánh giá trade-off giữa công sức kỹ thuật và giá trị nghiệp vụ; chủ động đề xuất thay vì chỉ làm ticket,KHONG_NHAC,Bachelor's in CS or equivalent practical experience,"onsite PV Gas Tower, Nhà Bè, HCMC",KHONG_NHAC,2026-08-22,LAP DAY NHOM enterprise_bank. Title Senior nhưng chỉ 3+ năm — thấp nhất trong các JD Senior của bộ
